leftfemurX,leftfemurY,rightfemurX,rightfemurY,waistX,waistY,upperspineX,upperspineY,rightshoulderX,rightshoulderY,rightelbowX,rightelbowY,rightwristX,rightwristY,leftshoulderX,leftshoulderY,leftelbowX,leftelbowY,leftwristX,leftwristY,neckX,neckY,headbaseX,headbaseY,sphnosetipX,sphnosetipY,sphheadtopX,sphheadtopY
346.0436938,385.8082452,249.7139574,385.4509494,297.8821302,321.9346406,297.3881325,252.9678721,225.065919,185.0826136,199.4438014,260.5819203,213.3916379,147.628818,366.5700075,189.5401394,383.8893156,301.5112919,336.1599403,342.705362,296.3004337,168.6624949,295.7072482,146.3464858,293.2741435,112.587956,289.5886329,26.17710192
346.0436938,385.8082452,249.7139574,385.4509494,297.8821302,321.9346406,297.3881325,252.9678721,225.065919,185.0826136,199.4385308,260.4789944,213.3165827,147.4658055,366.56986,189.578035,383.8137746,301.5483786,336.1214678,342.7051825,296.3004337,168.6624949,295.7453144,146.3466276,293.3118963,112.5911055,289.6654491,26.17734391
346.0436938,385.8082452,249.7139574,385.4509494,297.8821302,321.9346406,297.3881325,252.9678721,225.1039373,185.0827623,199.4367254,260.4061125,213.2806284,147.3419528,366.56986,189.578035,383.7760872,301.5482102,336.044523,342.7048234,296.3384657,168.6626407,295.7453144,146.3466276,293.3505669,112.5912433,289.7038573,26.17746491
346.0436938,385.8082452,249.7139574,385.4509494,297.8821302,321.9346406,297.3881325,252.9678721,225.1024906,185.1242382,199.4755343,260.4448502,213.2415939,147.3808168,366.6077406,189.61608,383.73839,301.5809896,336.0449665,342.7380737,296.3375882,168.6660645,295.7453144,146.3466276,293.3883206,112.5943929,289.778792,26.182252
346.0436938,385.8082452,249.7139574,385.4509494,297.8821302,321.9346406,297.3881325,252.9678721,225.1024731,185.0863213,199.5160993,260.5178974,213.2775154,147.4656597,366.6077406,189.61608,383.66285,301.6180758,335.9680224,342.7377147,296.3375882,168.6660645,295.7833806,146.3467695,293.4279084,112.591519,289.8181413,26.18010044
346.0436938,385.8082452,249.7127066,385.4561144,297.8821302,321.9346406,297.4630647,252.972297,225.2530846,185.0904754,199.7117986,260.6687478,213.5399599,147.7241282,366.7215295,189.6923194,383.6625182,301.6929216,336.0063813,342.7760569,296.4888414,168.6700714,295.9338822,146.3538227,293.6194321,112.5982317,290.0851247,26.18549262
346.0436938,385.8082452,249.7127066,385.4561144,297.8821302,321.9346406,297.4630647,252.972297,225.2911036,185.0906241,199.8387399,260.990782,213.685408,148.2162671,366.7215295,189.6923194,383.6246654,301.7301759,335.9288796,342.7806109,296.5268742,168.6702172,295.9728305,146.3507216,293.696775,112.5985074,290.1619432,26.18573463
346.0435712,385.8456247,249.7127066,385.4561144,297.9199305,321.9348132,297.5026936,252.9642502,225.3774101,185.1418401,200.4678879,263.4440674,214.8868131,151.963406,366.7978842,189.7612171,383.586332,301.8138077,335.7739854,342.7515556,296.5692852,168.6532444,296.0524865,146.338034,293.8560903,112.5453603,290.5132358,26.17318846
346.0435712,385.8456247,249.7127066,385.4561144,297.9207897,321.9301557,297.5440503,252.947997,225.5894814,185.2787528,201.9589966,268.8564745,217.8317086,161.1288296,366.912855,189.8230693,383.5847155,302.0233186,335.5029931,342.579126,296.7301532,168.6195944,296.2914235,146.2999762,294.2537718,112.4719708,291.255172,26.06899624
346.0435712,385.8456247,249.7127177,385.4187514,297.921649,321.9254982,297.6241642,252.9278023,225.8482846,185.4702228,203.997616,276.3935156,222.3070051,175.687053,367.0656944,189.9229584,383.5824606,302.2837145,335.1154239,342.415966,296.9308312,168.5413217,296.5701901,146.2175968,294.7710493,112.3483401,292.2703557,25.95432116
346.0435712,385.8456247,249.7127177,385.4187514,297.9233674,321.9161836,297.7069279,252.8576016,226.2326554,185.7093646,206.3555026,284.769764,228.2032683,195.2918131,367.2580127,190.0050026,383.6175666,302.6191652,334.6122553,342.1044783,297.2144727,168.4359888,296.970036,146.109743,295.4492462,112.1269919,293.4844928,25.82213422
346.0435712,385.8456247,249.7127177,385.4187514,297.9242266,321.9115264,297.7896139,252.8251076,226.6606545,186.0100498,208.6336819,292.8702857,235.1516604,219.1937311,367.5257512,190.1667029,383.6518829,303.010036,334.0310206,341.7642288,297.5368347,168.3653332,297.4095214,145.9955932,296.2070996,111.9356053,294.9694964,25.6840475
346.0435712,385.8456247,249.7127177,385.4187514,297.9637431,321.9023848,297.9110388,252.7886773,227.1278473,186.34502,210.6936436,299.5955746,242.6515819,245.8506777,367.7558734,190.2867487,383.6483396,303.4382401,333.4496883,341.423922,297.8600179,168.2533736,297.8876694,145.9163597,297.0418431,111.7831833,296.6064224,25.54877299
346.0434485,385.8830042,249.7127177,385.4187514,297.9654607,321.8930709,298.032446,252.7522523,227.6356133,186.67281,212.2754424,304.0898166,250.0868578,272.9063226,368.024111,190.4412049,383.6826646,303.8292508,332.8298796,341.0451974,298.2227391,168.1726695,298.367412,145.7927295,297.8771809,111.5892247,298.2442902,25.4474686
346.0434485,385.8830042,249.7127288,385.3813884,297.9663196,321.888414,298.1159528,252.7156722,228.1387567,187.0111036,213.2129102,305.9355976,256.8782508,297.8125281,368.2921668,190.5613593,383.7169859,304.2532695,332.248348,340.7047727,298.583602,168.0988277,298.8451629,145.7135709,298.7507062,111.4340806,299.8805152,25.34847531
346.0434485,385.8830042,249.7139796,385.376224,298.0058338,321.8792732,298.2373271,252.6792579,228.60512,187.3833227,213.5884756,305.3534413,262.3139758,318.6702336,368.5220241,190.7192185,383.7513325,304.6114782,331.6289262,340.3210273,298.9064196,167.9869776,299.2847069,145.6343029,299.4685298,111.2814511,301.3625907,25.24904542
346.0439129,385.8778334,249.7139796,385.376224,298.0075507,321.8699601,298.3190911,252.6508859,229.0246833,187.7009582,213.4241422,302.9577771,266.2885267,334.3111533,368.7132974,190.8119701,383.7484414,304.9560684,331.1246855,340.0141438,299.1885172,167.9231427,299.6826699,145.5678503,300.143937,111.1793041,302.685556,25.20115075
